suite,space_preset,instance_id,seed_transpiler,optimization_level,layout_method,seed_simulator,shots,method,score,transpiled_depth,transpiled_size
day2_large,compilation_only,ring6,8,0,sabre,0,1024,RandomBaseline,2.9765625,4,24
day2_large,compilation_only,ring6,8,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,8,1,sabre,0,1024,RandomBaseline,2.9765625,4,24
day2_large,compilation_only,ring6,8,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,8,2,sabre,0,1024,RandomBaseline,2.9765625,4,24
day2_large,compilation_only,ring6,8,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,8,3,sabre,0,1024,RandomBaseline,2.9765625,4,24
day2_large,compilation_only,ring6,9,0,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,9,0,sabre,0,1024,RandomBaseline,2.951171875,4,24
day2_large,compilation_only,ring6,9,1,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,9,1,sabre,0,1024,RandomBaseline,2.951171875,4,24
day2_large,compilation_only,ring6,9,2,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,9,2,sabre,0,1024,RandomBaseline,2.951171875,4,24
day2_large,compilation_only,ring6,9,3,trivial,0,1024,RandomBaseline,3.017578125,4,24
day2_large,compilation_only,ring6,9,3,sabre,0,1024,RandomBaseline,2.951171875,4,24
day2_large,compilation_only,ring8,0,0,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,0,0,sabre,0,1024,QAOA_p1,4.125,56,114
day2_large,compilation_only,ring8,0,1,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,0,1,sabre,0,1024,QAOA_p1,4.125,53,114
day2_large,compilation_only,ring8,0,2,trivial,0,1024,QAOA_p1,4.099609375,50,119
day2_large,compilation_only,ring8,0,2,sabre,0,1024,QAOA_p1,4.125,63,146
day2_large,compilation_only,ring8,0,3,trivial,0,1024,QAOA_p1,4.099609375,50,119
day2_large,compilation_only,ring8,0,3,sabre,0,1024,QAOA_p1,4.125,63,146
day2_large,compilation_only,ring8,1,0,trivial,0,1024,QAOA_p1,4.126953125,41,114
day2_large,compilation_only,ring8,1,0,sabre,0,1024,QAOA_p1,4.10546875,53,114
day2_large,compilation_only,ring8,1,1,trivial,0,1024,QAOA_p1,4.126953125,41,114
day2_large,compilation_only,ring8,1,1,sabre,0,1024,QAOA_p1,4.052734375,56,114
day2_large,compilation_only,ring8,1,2,trivial,0,1024,QAOA_p1,4.126953125,41,119
day2_large,compilation_only,ring8,1,2,sabre,0,1024,QAOA_p1,4.052734375,73,145
day2_large,compilation_only,ring8,1,3,trivial,0,1024,QAOA_p1,4.126953125,41,119
day2_large,compilation_only,ring8,1,3,sabre,0,1024,QAOA_p1,4.091796875,66,149
day2_large,compilation_only,ring8,2,0,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,2,0,sabre,0,1024,QAOA_p1,4.21875,53,114
day2_large,compilation_only,ring8,2,1,trivial,0,1024,QAOA_p1,4.1015625,44,114
day2_large,compilation_only,ring8,2,1,sabre,0,1024,QAOA_p1,4.125,53,114
day2_large,compilation_only,ring8,2,2,trivial,0,1024,QAOA_p1,4.1015625,44,119
day2_large,compilation_only,ring8,2,2,sabre,0,1024,QAOA_p1,4.125,63,136
day2_large,compilation_only,ring8,2,3,trivial,0,1024,QAOA_p1,4.1015625,44,119
day2_large,compilation_only,ring8,2,3,sabre,0,1024,QAOA_p1,4.125,63,136
day2_large,compilation_only,ring8,3,0,trivial,0,1024,QAOA_p1,4.150390625,47,114
day2_large,compilation_only,ring8,3,0,sabre,0,1024,QAOA_p1,4.10546875,47,114
day2_large,compilation_only,ring8,3,1,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,3,1,sabre,0,1024,QAOA_p1,4.10546875,47,114
day2_large,compilation_only,ring8,3,2,trivial,0,1024,QAOA_p1,4.099609375,50,119
day2_large,compilation_only,ring8,3,2,sabre,0,1024,QAOA_p1,4.10546875,50,125
day2_large,compilation_only,ring8,3,3,trivial,0,1024,QAOA_p1,4.099609375,50,119
day2_large,compilation_only,ring8,3,3,sabre,0,1024,QAOA_p1,4.10546875,50,125
day2_large,compilation_only,ring8,4,0,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,4,0,sabre,0,1024,QAOA_p1,4.21875,47,114
day2_large,compilation_only,ring8,4,1,trivial,0,1024,QAOA_p1,4.099609375,50,114
day2_large,compilation_only,ring8,4,1,sabre,0,1024,QAOA_p1,4.21875,47,114
day2_large,compilation_only,ring8,4,2,trivial,0,1024,QAOA_p1,4.099609375,50,119
